Index,Layout,Net Power (MW),Net Heat (MW),T_info
91,GTaHACaHCHE,-7.412953801118735,7.41295380111849,1
92,GTaHTACTaHE,-7.463961777041053,7.463961777281493,1
93,GTaHTACaHE,-7.4403866671511585,7.440386667399727,1
94,GTaHTHaACTCHE,-7.419942103693424,7.419942103713941,1
95,GTaHTaACHE,-7.796491111055581,7.796491111055758,1
96,GTaHTaCTACHE,-7.332839868854423,7.332839869247165,1
97,GTaTACAaCHE,-8.883590234475106,8.8835902345188,1
98,GTaTACAaHE,-8.836144029183439,8.836144029296268,1
99,GTaTACAaTHE,-8.31561910070917,8.31561909708471,1
100,GTaTACHaHE,-7.725258554470199,7.725258554686301,1
101,GTaTACHaTHE,-7.797545742272332,7.797545742488824,1
102,GTaTACaCTHE,-7.742053807942532,7.742053812236901,1
103,GTaTACaHE,-7.771726278816306,7.771726282255169,1
104,GTaTATCAaCTHE,-8.35286761075683,8.352867603312898,0
105,GTaTATCaHE,-7.672666762540203,7.672666765172452,0
106,GTaTHACHaHE,-7.864072791226261,7.864072791443702,1
107,Ga-1A1HTaACT1ACHE,-7.5690297749310185,7.5690297749315985,1
108,Ga1HTaACH-1T1TE,-7.7739151719362445,7.773915171936281,1
109,GaCHTaACHE,-7.797799929118637,7.797799929118935,1
110,GaCTACACaHTE,-8.981751378049697,8.981751470425516,1
111,GaCTHTaACHE,-7.488155476786028,7.488155476786196,1
112,GaHCTaACHE,-7.899720630043052,7.899720623315062,1
113,GaHT1TaATC-1H1CE,-7.722522420941979,7.722522421012427,0
114,GaHTaACHCE,-7.933919134512432,7.933919134512488,1
115,GaHTaACHCHE,-7.823907251446644,7.8239072514468875,1
116,GaTACTaHTE,-7.165389043765232,7.165389054692879,1
117,GaTHTaTACHE,-7.817884522383017,7.817884522596881,1
118,G1A1TaAC-1AaHE,-8.687586118264381,8.687586118264925,1
119,G1HTaACTa-1HT1CHE,-7.600821395124732,7.600821395124942,1
120,G1T1ACTCTaHTaACH-1HE,-8.110790903513832,8.110790904319368,1
121,G1TA1TaATCTaH-1HTE,-7.593592674263231,7.593592674375135,0
122,G1TACa1HTa-1ACHE,-7.8729181129779455,7.872918116878276,1
123,G1TaAC-1H1aHCE,-8.269312965452494,8.269312976970822,1
124,G1TaAC1TaCH-1AE,-7.624386989435546,7.624386989436168,1
125,G1TaACA-1T1ACaHE,-8.630693400534074,8.630693400534206,1
126,G1TaHTaA-1AC1ACHE,-7.656516557363895,7.65651655736351,1
127,G1TaTAC-1TaH1ACHE,-8.62301524609106,8.623015264236969,1
128,G1a1HTaAC-1THE,-8.261439433867567,8.261439463099375,1
129,G1aHTaACACT-1A1HE,-8.262669448452856,8.262669448453288,1
130,G1aTACaTH-1T1CTACHE,-7.575081632627611,7.575081635526389,1
131,G1aTHTaAC-1AC1THE,-7.8116867912900805,7.811686791289967,1
132,G1aTHTaACHT-1AC1HE,-7.2221891306181805,7.2221891306181325,1
133,G1aTHTaHT1TAC-1HE,-7.317582415310841,7.317582416360595,1
134,GATACaHTaACE,-7.919414113564844,7.919414113564022,1
135,GC1CTaH1TaAC-1HE,-7.3000516283054875,7.300051634431481,1
136,GCHTaACAaHE,-8.906383557394935,8.906383557395507,1
137,GCHTaACaCHE,-7.483834674878785,7.483834674878618,1
138,GCHTaACaHE,-7.761603625511182,7.761603625510872,1
139,GCTCTaACaHE,-7.86555341785177,7.8655534457927425,1
140,GCTaACAaHE,-8.364386379505426,8.364386375675844,1
141,GCTaACHaCTHE,-7.976437464881787,7.976437462960559,1
142,GCTaACHaHE,-7.796972012427076,7.796972005280484,1
143,GCTaACTaHE,-7.326038215988131,7.326038207666021,1
144,GCTaATACaHE,-7.551557188834904,7.551557188449037,1
145,GCTaCACaHE,-7.440813811558585,7.440813822764771,1
146,GCTaHACaHE,-7.376884010032007,7.376884000493676,1
147,GCTaTACaCHE,-7.6693988767638235,7.6693988922300305,1
148,GCaHTaACACHE,-7.998980693712529,7.998980693712495,1
149,GCaHTaACHE,-7.874276104990421,7.874276104990606,1
150,GCaHTaACHTE,-7.823241015566032,7.823241009245887,1
151,GCaTHTaACHE,-7.8051513166578,7.805151316657946,1
152,GT-1TH1aA1ACaHE,-7.541454425715059,7.541454425715138,1
153,GT-1a1TA1ACTaHE,-7.594107560891196,7.594107573165536,1
154,GT-1a1TAHTHC1ACaHE,-7.768189427780966,7.768189431095153,1
155,GT-1aACaHT1AC1THE,-7.617235624849688,7.617235624850113,1
156,GT1ACA1TaACTaHT-1E,-7.519139091075479,7.51913909129056,1
157,GT1ACA1aTACHa-1HE,-7.685073936532325,7.685073936765283,1
158,GT1ATACaHTaA-1CH1E,-7.4447654255274305,7.444765423228742,1
159,GT1C1AaHTaAC-1HE,-7.834305720318844,7.834305720319228,1
160,GT1C1TaA-1ACaHE,-7.618185529085576,7.618185529164519,1
161,GT1CaAC-1AC1aHE,-7.546904040971447,7.546904041170124,1
162,GT1CaHTa-1AC1ACHE,-7.7337646482935645,7.733764698457669,1
163,GT1HTaACa-1A1CHE,-7.659643070279667,7.65964307027955,1
164,GT1TaACT-1aH1CAE,-7.283191478208954,7.283191481556915,1
165,GT1TaATAC-1aH1CE,-7.483127921887904,7.483127927130561,1
166,GT1TaATACaH-1T1E,-7.752299053021211,7.7522990649306625,1
167,GT1TaH1TaACT-1AHE,-7.526930011851637,7.526930002899606,1
168,GT1aAC-1aHT1HE,-7.673447580321796,7.6734475803646705,1
169,GT1aACHTa-1H1HE,-7.735747847562551,7.735747847573679,1
170,GT1aACTaHC-1A1E,-7.345434637950326,7.345434639860656,1
171,GT1aH1TaAC-1CHE,-8.74847199972522,8.748472002541154,1
172,GT1aTAC-1HT1aHE,-7.713691804601839,7.713691807837639,1
173,GT1aTHTaAC-1T1HE,-8.05507136483411,8.055071364833664,1
174,GTACHaHTaE,-7.7959145824996545,7.795914582704619,1
175,GTACTaHCTaHE,-7.349242145226846,7.34924213497147,1
176,GTACTaHTaE,-7.735073920401902,7.735073935372915,1
177,GTACaHTaAE,-7.629752501420013,7.629752501418919,1
178,GTACaHTaCE,-7.89726732965086,7.897267336609356,1
179,GTACaHTaHE,-7.509223302091885,7.509223302345306,1
180,GTC-1aAC1T1CTaHE,-7.404715677980447,7.404715678093765,1
181,GTCACHTaHTaE,-7.637517111599907,7.637517083587028,1
182,GTCHTaACHaCHE,-7.670678876064309,7.670678889065344,1
183,GTCHTaTACaCHE,-7.593968297840407,7.593968316949047,1
184,GTCTaACAaHE,-8.963191175455767,8.96319118956068,1
185,GTCTaACHaCTHE,-7.862138020142073,7.862138006156113,1
186,GTCTaACTaHE,-7.70867418645327,7.708674194232874,1
187,GTCTaACaCHE,-7.6442106261554645,7.644210637153819,1
188,GTCTaACaHTHE,-7.8209684161443915,7.820968419764638,1
189,GTCTaTACAaHE,-7.9907915761903645,7.990791593866214,1
190,GTCTaTACaHE,-7.456403828730956,7.456403852013463,1
191,GTCa1HTaACT-1CH1E,-8.389418246812967,8.38941824681342,1
192,GTCaACHTaHE,-7.733538929377374,7.733538929400846,1
193,GTCaACHaHE,-7.703570787776374,7.70357078778436,1
194,GTCaHTaACHE,-7.814724409171018,7.8147244091713315,1
195,GTCaHTaHACHE,-7.794476668242311,7.794476668242592,1
196,GTH1A1TaACACaH-1HE,-7.629695472945577,7.629695448414322,1
197,GTH1TaAC-1TaHT1E,-7.856417057672903,7.8564170697628555,1
198,GTHCTaACaHE,-7.478988056076696,7.47898804518123,1
199,GTHTCTaACaHE,-7.850441785619815,7.850441734334841,1
200,GTHTHTaACaHE,-7.795100486844122,7.795100490804193,1
201,GTHTaAC-1a1HTH1E,-8.53639170471758,8.5363916832023,1
202,GTHTaACAaCHCE,-7.644913793850843,7.644913793850656,1
203,GTHTaACAaHE,-8.899720092679795,8.899720092680193,1
204,GTHTaACHaCHE,-7.927803553359448,7.927803544876252,1
205,GTHTaACHaHE,-7.347399382789629,7.347399382820797,1
206,GTHTaACaCHE,-7.758058917419664,7.758058917420145,1
207,GTHTaACaCTHE,-7.668390742114207,7.668390742114455,1
208,GTHTaACaHE,-7.768689461494211,7.768689461494517,1
209,GTHTaCACaCHE,-7.262932621978854,7.262932646056704,1
210,GTHTaHACHaHE,-7.873954022984987,7.873954012263823,1
211,GTHTaHACTaHE,-7.51414256391778,7.514142563918177,1
212,GTHTaHACaHE,-7.298407037847948,7.298407019537516,1
213,GTHTaHTACaHE,-7.374276318700458,7.374276318952963,1
214,GTHTaTACaHE,-7.901917067233421,7.901917071832035,1
215,GTHaAC-1HaH1H1E,-7.644267425646089,7.644267414338723,1
216,GTHaACHaHCE,-7.60852507686452,7.608525067635212,1
217,GTHaACHaTHE,-7.094939231009915,7.094939231035467,1
218,GTHaHTHTaACHE,-7.402113750043128,7.402113750053272,1
219,GTHaHTaACHCE,-8.004772992945727,8.004772992945924,1
220,GTa-1HTACa1C1HE,-7.394360100917311,7.394360101167098,1
221,GTa-1T1H1ACaHE,-7.690420842111936,7.690420850899205,1
222,GTa1AC-1C1TaHE,-7.829356280484656,7.829356285113126,1
223,GTa1H1TAC-1aHE,-7.685645941288093,7.685645951304983,1
224,GTa1HTaAC-1C1HE,-7.686522816702094,7.686522816701662,1
225,GTa1HTaAC-1H1CE,-8.671418341429868,8.671418343365387,1
226,GTa1T1TAC-1aHE,-7.728825444723472,7.728825452003371,1
227,GTa1TAC-1A1ACaHE,-7.731354062137231,7.731354075028684,1
228,GTaAC-1A1H1aHE,-8.747070745261947,8.747070745261677,1
229,GTaAC-1H1T1THaHE,-7.627443183073326,7.627443183073335,1
230,GTaAC-1T1HaH1E,-7.732077557572877,7.732077549548936,1
231,GTaAC1C-1H1aHE,-7.731613541411752,7.731613541411955,1
232,GTaAC1CaHT-1H1E,-7.823679727792913,7.823679758784305,1
233,GTaAC1HTCHaH-1H1E,-7.349849248073602,7.3498492480734585,1
234,GTaAC1THCTaH-1A1E,-7.7698445423870695,7.769844542387266,1
235,GTaAC1aHCTH-1ATH1E,-7.598472127032479,7.598472127032268,1
236,GTaACACHaHE,-7.823802570716389,7.823802570715636,1
237,GTaACACTaHE,-8.43122390023719,8.431223900237141,1
238,GTaACACaCHE,-7.770098586544054,7.77009858654454,1
239,GTaACACaTHE,-8.939677997551941,8.939677997551625,1
240,GTaACATCaCHE,-7.797281669107512,7.797281669108629,1
241,GTaACATCaHE,-7.767234670192394,7.767234694279794,1
242,GTaACATaCHE,-8.354431822284965,8.354431822284308,1
243,GTaACATaHCHE,-8.909696569025208,8.909696569025192,0
244,GTaACAaCHE,-8.328985062896981,8.328985062897042,1
245,GTaACAaCTHE,-8.331153226973884,8.331153226973711,1
246,GTaACAaHE,-8.86238936070941,8.862389360709235,1
247,GTaACAaTHE,-8.82731606366118,8.827316063661009,1
248,GTaACHCHaHE,-7.715720017715491,7.715720017715551,1
249,GTaACHCTaHE,-7.777550766412175,7.777550766412254,1
250,GTaACHTHaHE,-7.937219256580724,7.9372192565805655,1
251,GTaACHTa-1HT1H1E,-7.6855648756142125,7.685564858274922,1
252,GTaACHTaCHE,-7.821611010910157,7.821611010909855,1
253,GTaACHaCHE,-7.796981059894131,7.796981059894297,1
254,GTaACHaCTHE,-7.80622493419148,7.806224934191499,1
255,GTaACHaHCE,-7.796881948515448,7.79688194136313,1
256,GTaACHaTCHE,-7.819435045957925,7.819435045958008,1
257,GTaACT-1aH1HTH1HE,-8.474330953340232,8.474330968090296,1
258,GTaACT1AaHC-1H1E,-8.66428713078701,8.664287130787494,1
259,GTaACTACHaCHE,-7.773661867951987,7.773661867951471,1
260,GTaACTAaCHE,-8.63378709135461,8.633787091353543,1
261,GTaACTAaCTHE,-8.597421646534082,8.597421646534464,1
262,GTaACTAaHCHE,-8.60203845345034,8.60203845345017,1
263,GTaACTAaHE,-8.366405399929468,8.366405399929198,1
264,GTaACTCHaHE,-7.797726840706071,7.797726840698153,1
265,GTaACTCHaTHE,-7.758036904259451,7.758036904258728,1
266,GTaACTCTaHE,-7.59770967951219,7.597709679511979,1
267,GTaACTCaTHE,-7.748765363371515,7.748765362589575,1
268,GTaACTHTaHE,-7.5288050079304485,7.52880500793064,1
269,GTaACTHaCHE,-7.330735021084308,7.330735023275852,1
270,GTaACTHaTHE,-7.816498411347939,7.816498411347535,1
271,GTaACTaHCHE,-7.749512432015874,7.749512432016063,1
272,GTaACTaHE,-7.726704241651153,7.726704241651494,1
273,GTaACTaHTHE,-7.777425076570555,7.777425076570574,1
274,GTaACTaTHE,-7.768377137029368,7.768377137029107,1
275,GTaACaCTHE,-7.7336176420217155,7.733617642021589,1
276,GTaACaHCTHE,-7.743619021090403,7.743619021090559,1
277,GTaACaHTHE,-7.736662774729312,7.736662774729609,1
278,GTaACaTCHE,-7.714262528607178,7.714262528607358,1
279,GTaACaTHCE,-7.090599843901999,7.09059984626008,1
280,GTaACaTHE,-7.7828432362436475,7.782843236243487,1
281,GTaATACHaHE,-7.500954332293754,7.50095433230409,1
282,GTaATACTaHE,-7.564761481721656,7.564761481723274,1
283,GTaATACaHE,-7.766074376297926,7.766074376297336,1
284,GTaATCAaCHE,-8.386654528567563,8.386654528566668,1
285,GTaATCAaHE,-8.698391853066502,8.69839185306695,0
286,GTaATCHaHE,-7.784020182710275,7.784020182711099,0
287,GTaATCHaHTHE,-7.83941094376678,7.839410931443319,0
288,GTaATCaCHE,-7.839100756825527,7.839100756729193,0
289,GTaATCaHCHE,-7.767932951850274,7.767932951699916,0
290,GTaATCaHE,-7.756152132541582,7.756152132542591,0
291,GTaCACATaHE,-9.037869848609418,9.037869834499292,1
292,GTaCACAaTHE,-9.26217876179924,9.262178761771326,1
293,GTaCACHTaCHE,-7.587735510716133,7.58773551121163,1
294,GTaCACHTaHE,-7.520731088166747,7.520731088415593,1
295,GTaCACHaCHE,-7.684593323420957,7.684593323585622,1
296,GTaCACHaHE,-7.58860052875353,7.588600529074464,1
297,GTaCACHaTHE,-7.672543424655138,7.672543424818296,1
298,GTaCACTCaHE,-7.616022571446948,7.616022578510194,1
299,GTaCACTHaHE,-7.680128012791827,7.680128012957051,1
300,GTaCATCHaHE,-7.72976730964102,7.729767309924886,0
301,GTaCHTaACTHE,-7.760485578648793,7.760485578648459,1
302,GTaCTACHaTHE,-7.898047890360678,7.8980478946895785,1
303,GTaCTACaHE,-7.676681679978877,7.676681690989192,1
304,GTaCTHACHaHE,-7.322743474183827,7.322743474666219,1
305,GTaH1T1ATCaH-1E,-7.359810634409198,7.359810634652667,0
306,GTaH1TaAC-1H1CE,-8.723658582654283,8.723658580982786,1
307,GTaH1TaAC-1T1HE,-7.725966119038148,7.725966111127779,1
308,GTaH1TaACT-1HAC1HE,-7.660901098325964,7.660901088356026,1
309,GTaHACHaCHE,-7.62957444590408,7.629574445903923,1
310,GTaHACTaCHE,-7.485716375607369,7.485716375607778,1
311,GTaHACTaHCHE,-7.4421880083844485,7.44218800838441,1
312,GTaHACTaHE,-7.353768279401391,7.353768279401563,1
313,GTaHACaCHE,-7.485746958957621,7.485746958957494,1
314,GTaHACaHCE,-7.375630202084949,7.375630192550577,1
315,GTaHATCTaHE,-7.308382009112064,7.308382009112794,0
316,GTaHATCaCHE,-7.471208097549039,7.471208097622819,0
317,GTaHCTaACHE,-7.830662006255966,7.830662008507855,1
318,GTaHT1A1TaAC-1HE,-7.818338118819101,7.818338118845221,1
319,GTaHTACACaHE,-7.447724634361096,7.447724737529192,1
320,GTaHTACHaHE,-7.780209180331955,7.780209180535089,1
321,GTaHTACHaTHE,-7.727578179143135,7.727578157153427,1
322,GTaHTACa-1H1H1HE,-7.506038227112473,7.50603822736957,1
323,GTaHTACaCHE,-7.360088942131331,7.360088942379054,1
